f,scl1,scl2,scl3
0,-7.98E-05,-1.00E-04,-7.98E-05
0,-0.000137266,-1.00E-04,-0.000137266
0,0.002912423,-1.00E-04,0.002912423
0,-0.004810091,-1.00E-04,-0.004810091
0,-0.000929318,-1.00E-04,-0.000929318
0,0.004151157,-1.00E-04,0.004151157
0,-0.005572653,-1.00E-04,-0.005572653
0,-0.005736148,-1.00E-04,-0.005736148
0,-0.000947654,-1.00E-04,-0.000947654
0,-0.007172857,-1.00E-04,-0.007172857
0,0.011586105,-1.00E-04,0.011586105
0,-0.003124524,-1.00E-04,-0.003124524
0,-0.003580686,-1.00E-04,-0.003580686
0,-0.004712005,-1.00E-04,-0.004712005
0,-0.001948138,-1.00E-04,-0.001948138
0,-0.006435415,-1.00E-04,-0.006435415
0,0.000536061,-1.00E-04,0.000536061
0,0.002622985,-1.00E-04,0.002622985
0,-0.003383184,-1.00E-04,-0.003383184
0,-0.000684011,-1.00E-04,-0.000684011
0,-0.001743793,-1.00E-04,-0.001743793
0,-0.001457872,-1.00E-04,-0.001457872
0,0.004550347,-1.00E-04,0.004550347
0,0.005926067,-1.00E-04,0.005926067
0,0.009344163,-1.00E-04,0.009344163
0,-0.000255255,-1.00E-04,-0.000255255
0,-0.009581923,-1.00E-04,-0.009581923
0,-0.001733244,-1.00E-04,-0.001733244
0,0.000103729,-1.00E-04,0.000103729
0,0.004267122,-1.00E-04,0.004267122
0,0.009380015,-1.00E-04,0.009380015
0,0.000485096,-1.00E-04,0.000485096
0,-0.004377751,-1.00E-04,-0.004377751
0,-0.003326075,-1.00E-04,-0.003326075
0,-0.000995049,-1.00E-04,-0.000995049
0,-0.001052843,-1.00E-04,-0.001052843
0,-0.001364015,-1.00E-04,-0.001364015
0,0.009757136,-1.00E-04,0.009757136
0,0.014596324,-1.00E-04,0.014596324
0,-0.003329643,-1.00E-04,-0.003329643
0,-0.015169649,-1.00E-04,-0.015169649
0,0.001190289,-1.00E-04,0.001190289
0,0.015448683,-1.00E-04,0.015448683
0,-0.007555571,-1.00E-04,-0.007555571
0,0.002076811,-1.00E-04,0.002076811
0,-0.001629306,-1.00E-04,-0.001629306
0,0.006820333,-1.00E-04,0.006820333
0,0.001076019,-1.00E-04,0.001076019
0,0.004566928,-1.00E-04,0.004566928
0,-0.002954783,-1.00E-04,-0.002954783
0,0.001942196,-1.00E-04,0.001942196
0,-1.15E-05,-1.00E-04,-1.15E-05
0,0.002081591,-1.00E-04,0.002081591
0,0.003288756,-1.00E-04,0.003288756
0,0.002681956,-1.00E-04,0.002681956
0,-0.000719093,-1.00E-04,-0.000719093
0,0.000304457,-1.00E-04,0.000304457
0,0.001819268,-1.00E-04,0.001819268
0,0.012108864,-1.00E-04,0.012108864
0,0.008210084,-1.00E-04,0.008210084
0,-0.001906036,-1.00E-04,-0.001906036
0,0.003596521,-1.00E-04,0.003596521
0,0.003235872,-1.00E-04,0.003235872
0,-0.001014197,-1.00E-04,-0.001014197
0,0.004256367,-1.00E-04,0.004256367
0,0.005505128,-1.00E-04,0.005505128
0,-0.000443482,-1.00E-04,-0.000443482
0,0.006501772,-1.00E-04,0.006501772
0,-0.001226416,-1.00E-04,-0.001226416
0,-0.005109488,-1.00E-04,-0.005109488
0,0.006549315,-1.00E-04,0.006549315
0,-0.01244853,-1.00E-04,-0.01244853
0,-0.001145745,-1.00E-04,-0.001145745
0,0.004801119,-1.00E-04,0.004801119
0,-0.006611565,-1.00E-04,-0.006611565
0,-0.006998045,-1.00E-04,-0.006998045
0,-0.008210011,-1.00E-04,-0.008210011
0,0.002516895,-1.00E-04,0.002516895
0,0.005749569,-1.00E-04,0.005749569
0,0.003361984,-1.00E-04,0.003361984
0,0.006088312,-1.00E-04,0.006088312
0,0.008398099,-1.00E-04,0.008398099
0,-0.0031556,-1.00E-04,-0.0031556
0,-0.009725143,-1.00E-04,-0.009725143
0,0.003115817,-1.00E-04,0.003115817
0,-0.003411948,-1.00E-04,-0.003411948
0,0.009048932,-1.00E-04,0.009048932
0,0.003307774,-1.00E-04,0.003307774
0,0.002213473,-1.00E-04,0.002213473
0,-0.018246502,-1.00E-04,-0.018246502
0,-0.00061706,-1.00E-04,-0.00061706
0,-0.002708061,-1.00E-04,-0.002708061
0,0.004105254,-1.00E-04,0.004105254
0,-0.001531714,-1.00E-04,-0.001531714
0,0.003160018,-1.00E-04,0.003160018
0,3.25E-06,-1.00E-04,3.25E-06
0,0.000249286,-1.00E-04,0.000249286
0,-0.006421308,-1.00E-04,-0.006421308
